date,organic_sessions,sessions_avg,bounce_rate
2019-06-10,316,63,49.0
2019-06-11,307,61,44.0
2019-06-12,284,56,47.0
2019-06-13,267,53,46.0
2019-06-14,213,42,51.0
2019-06-15,149,29,50.0
2019-06-16,177,35,48.0
2019-06-17,292,58,49.0
2019-06-18,276,55,52.0
2019-06-19,265,53,44.0
2019-06-20,264,52,31.0
2019-06-21,246,49,53.0
2019-06-22,194,38,55.0
2019-06-23,204,40,42.0
2019-06-24,287,57,49.0
2019-06-25,338,67,48.0
2019-06-26,283,56,51.0
2019-06-27,272,54,44.0
2019-06-28,254,50,55.0
2019-06-29,204,40,42.0
2019-06-30,171,34,46.0
2019-07-01,289,57,47.0
2019-07-02,293,58,56.0
2019-07-03,280,56,49.0
2019-07-04,160,32,56.0
2019-07-05,197,39,49.0
2019-07-06,167,33,49.0
2019-07-07,195,39,47.0
2019-07-08,336,67,47.0
2019-07-09,318,63,40.0
2019-07-10,275,55,44.0
2019-07-11,249,49,50.0
2019-07-12,258,51,53.0
2019-07-13,179,35,48.0
2019-07-14,208,41,50.0
2019-07-15,304,60,50.0
2019-07-16,274,54,44.0
2019-07-17,272,54,45.0
2019-07-18,270,54,43.0
2019-07-19,290,58,47.0
2019-07-20,211,42,46.0
2019-07-21,177,35,51.0
2019-07-22,286,57,43.0
2019-07-23,318,63,43.0
2019-07-24,293,58,44.0
2019-07-25,320,64,46.0
2019-07-26,244,48,47.0
2019-07-27,187,37,52.0
2019-07-28,198,39,51.0
2019-07-29,295,59,49.0
2019-07-30,294,58,42.0
2019-07-31,367,73,47.0
2019-08-01,287,57,57.0
2019-08-02,214,42,45.0
2019-08-03,185,37,51.0
2019-08-04,165,33,44.0
2019-08-05,248,49,49.0
2019-08-06,271,54,47.0
2019-08-07,284,56,51.0
2019-08-08,273,54,50.0
2019-08-09,233,46,46.0
2019-08-10,192,38,48.0
2019-08-11,190,38,47.0
2019-08-12,283,56,50.0
2019-08-13,279,55,44.0
2019-08-14,258,51,45.0
2019-08-15,252,50,49.0
2019-08-16,268,53,46.0
2019-08-17,169,33,48.0
2019-08-18,199,39,48.0
2019-08-19,275,55,53.0
2019-08-20,218,43,47.0
2019-08-21,270,54,45.0
2019-08-22,290,58,45.0
2019-08-23,248,49,44.0
2019-08-24,199,39,49.0
2019-08-25,220,44,44.0
2019-08-26,303,60,45.0
2019-08-27,260,52,51.0
2019-08-28,260,52,44.0
2019-08-29,270,54,46.0
2019-08-30,266,53,49.0
2019-08-31,201,40,54.0
2019-09-01,187,37,42.0
2019-09-02,238,47,47.0
2019-09-03,255,51,46.0
2019-09-04,254,50,46.0
2019-09-05,281,56,44.0
2019-09-06,233,46,40.0
2019-09-07,177,35,51.0
2019-09-08,205,41,53.0
2019-09-09,259,51,45.0
2019-09-10,291,58,46.0
2019-09-11,300,60,48.0
2019-09-12,319,63,46.0
2019-09-13,253,50,46.0
2019-09-14,159,31,52.0
2019-09-15,191,38,49.0
2019-09-16,292,58,42.0
2019-09-17,323,64,50.0
2019-09-18,258,51,51.0
2019-09-19,309,61,48.0
2019-09-20,277,55,51.0
2019-09-21,179,35,50.0
2019-09-22,194,38,45.0
2019-09-23,278,55,46.0
2019-09-24,271,54,45.0
2019-09-25,289,57,45.0
2019-09-26,293,58,46.0
2019-09-27,300,60,52.0
2019-09-28,221,44,55.0
2019-09-29,214,42,48.0
2019-09-30,297,59,50.0
2019-10-01,291,58,47.0
2019-10-02,306,61,49.0
2019-10-03,244,48,46.0
2019-10-04,273,54,47.0
2019-10-05,197,39,49.0
2019-10-06,229,45,45.0
2019-10-07,289,57,49.0
2019-10-08,288,57,51.0
2019-10-09,262,52,56.0
2019-10-10,274,54,53.0
2019-10-11,263,52,46.0
2019-10-12,221,44,56.0
2019-10-13,203,40,43.0
2019-10-14,286,57,53.0
2019-10-15,282,56,50.0
2019-10-16,304,60,46.0
2019-10-17,277,55,50.0
2019-10-18,260,52,48.0
2019-10-19,210,42,51.0
2019-10-20,223,44,51.0
2019-10-21,292,58,48.0
2019-10-22,332,66,44.0
2019-10-23,335,67,47.0
2019-10-24,295,59,48.0
2019-10-25,254,50,48.0
2019-10-26,168,33,51.0
2019-10-27,209,41,53.0
2019-10-28,258,51,46.0
2019-10-29,308,61,50.0
2019-10-30,286,57,58.0
2019-10-31,241,48,48.0
